# MGGPlanner map-layer baseline (voxblox TSDF, ROS 1)
# scene: room -10 -10   0 .. 10 10  4; obstacle    2 -1.5    0 ..   4 1.5   2
kind,x,y,z,arg,result
voxel,-14,-1,3.5,0,unknown
voxel,-14,-1,4.5,0,unknown
voxel,-14,0,0.5,0,unknown
voxel,-14,0,1.5,0,unknown
voxel,-14,0,2.5,0,unknown
voxel,-14,0,3.5,0,unknown
voxel,-14,0,4.5,0,unknown
voxel,-14,1,0.5,0,unknown
voxel,-14,1,1.5,0,unknown
voxel,-14,1,2.5,0,unknown
voxel,-14,1,3.5,0,unknown
voxel,-14,1,4.5,0,unknown
voxel,-14,2,0.5,0,unknown
voxel,-14,2,1.5,0,unknown
voxel,-14,2,2.5,0,unknown
voxel,-14,2,3.5,0,unknown
voxel,-14,2,4.5,0,unknown
voxel,-14,3,0.5,0,unknown
voxel,-14,3,1.5,0,unknown
voxel,-14,3,2.5,0,unknown
voxel,-14,3,3.5,0,unknown
voxel,-14,3,4.5,0,unknown
voxel,-14,4,0.5,0,unknown
voxel,-14,4,1.5,0,unknown
voxel,-14,4,2.5,0,unknown
voxel,-14,4,3.5,0,unknown
voxel,-14,4,4.5,0,unknown
voxel,-14,5,0.5,0,unknown
voxel,-14,5,1.5,0,unknown
voxel,-14,5,2.5,0,unknown
voxel,-14,5,3.5,0,unknown
voxel,-14,5,4.5,0,unknown
voxel,-14,6,0.5,0,unknown
voxel,-14,6,1.5,0,unknown
voxel,-14,6,2.5,0,unknown
voxel,-14,6,3.5,0,unknown
voxel,-14,6,4.5,0,unknown
voxel,-14,7,0.5,0,unknown
voxel,-14,7,1.5,0,unknown
voxel,-14,7,2.5,0,unknown
voxel,-14,7,3.5,0,unknown
voxel,-14,7,4.5,0,unknown
voxel,-14,8,0.5,0,unknown
voxel,-14,8,1.5,0,unknown
voxel,-14,8,2.5,0,unknown
voxel,-14,8,3.5,0,unknown
voxel,-14,8,4.5,0,unknown
voxel,-14,9,0.5,0,unknown
voxel,-14,9,1.5,0,unknown
voxel,-14,9,2.5,0,unknown
voxel,-14,9,3.5,0,unknown
voxel,-14,9,4.5,0,unknown
voxel,-14,10,0.5,0,unknown
voxel,-14,10,1.5,0,unknown
voxel,-14,10,2.5,0,unknown
voxel,-14,10,3.5,0,unknown
voxel,-14,10,4.5,0,unknown
voxel,-14,11,0.5,0,unknown
voxel,-14,11,1.5,0,unknown
voxel,-14,11,2.5,0,unknown
voxel,-14,11,3.5,0,unknown
voxel,-14,11,4.5,0,unknown
voxel,-14,12,0.5,0,unknown
voxel,-14,12,1.5,0,unknown
voxel,-14,12,2.5,0,unknown
voxel,-14,12,3.5,0,unknown
voxel,-14,12,4.5,0,unknown
voxel,-14,13,0.5,0,unknown
voxel,-14,13,1.5,0,unknown
voxel,-14,13,2.5,0,unknown
voxel,-14,13,3.5,0,unknown
voxel,-14,13,4.5,0,unknown
voxel,-14,14,0.5,0,unknown
voxel,-14,14,1.5,0,unknown
voxel,-14,14,2.5,0,unknown
voxel,-14,14,3.5,0,unknown
voxel,-14,14,4.5,0,unknown
voxel,-13,-14,0.5,0,unknown
voxel,-13,-14,1.5,0,unknown
voxel,-13,-14,2.5,0,unknown
voxel,-13,-14,3.5,0,unknown
voxel,-13,-14,4.5,0,unknown
voxel,-13,-13,0.5,0,unknown
voxel,-13,-13,1.5,0,unknown
voxel,-13,-13,2.5,0,unknown
voxel,-13,-13,3.5,0,unknown
voxel,-13,-13,4.5,0,unknown
voxel,-13,-12,0.5,0,unknown
voxel,-13,-12,1.5,0,unknown
voxel,-13,-12,2.5,0,unknown
voxel,-13,-12,3.5,0,unknown
voxel,-13,-12,4.5,0,unknown
voxel,-13,-11,0.5,0,unknown
voxel,-13,-11,1.5,0,unknown
voxel,-13,-11,2.5,0,unknown
voxel,-13,-11,3.5,0,unknown
voxel,-13,-11,4.5,0,unknown
voxel,-13,-10,0.5,0,unknown
voxel,-13,-10,1.5,0,unknown
voxel,-13,-10,2.5,0,unknown
voxel,-13,-10,3.5,0,unknown
voxel,-13,-10,4.5,0,unknown
voxel,-13,-9,0.5,0,unknown
voxel,-13,-9,1.5,0,unknown
voxel,-13,-9,2.5,0,unknown
voxel,-13,-9,3.5,0,unknown
voxel,-13,-9,4.5,0,unknown
voxel,-13,-8,0.5,0,unknown
voxel,-13,-8,1.5,0,unknown
voxel,-13,-8,2.5,0,unknown
voxel,-13,-8,3.5,0,unknown
voxel,-13,-8,4.5,0,unknown
voxel,-13,-7,0.5,0,unknown
voxel,-13,-7,1.5,0,unknown
voxel,-13,-7,2.5,0,unknown
voxel,-13,-7,3.5,0,unknown
voxel,-13,-7,4.5,0,unknown
voxel,-13,-6,0.5,0,unknown
voxel,-13,-6,1.5,0,unknown
voxel,-13,-6,2.5,0,unknown
voxel,-13,-6,3.5,0,unknown
voxel,-13,-6,4.5,0,unknown
voxel,-13,-5,0.5,0,unknown
voxel,-13,-5,1.5,0,unknown
voxel,-13,-5,2.5,0,unknown
voxel,-13,-5,3.5,0,unknown
voxel,-13,-5,4.5,0,unknown
voxel,-13,-4,0.5,0,unknown
voxel,-13,-4,1.5,0,unknown
voxel,-13,-4,2.5,0,unknown
voxel,-13,-4,3.5,0,unknown
voxel,-13,-4,4.5,0,unknown
voxel,-13,-3,0.5,0,unknown
voxel,-13,-3,1.5,0,unknown
voxel,-13,-3,2.5,0,unknown
voxel,-13,-3,3.5,0,unknown
voxel,-13,-3,4.5,0,unknown
voxel,-13,-2,0.5,0,unknown
voxel,-13,-2,1.5,0,unknown
voxel,-13,-2,2.5,0,unknown
voxel,-13,-2,3.5,0,unknown
voxel,-13,-2,4.5,0,unknown
voxel,-13,-1,0.5,0,unknown
voxel,-13,-1,1.5,0,unknown
voxel,-13,-1,2.5,0,unknown
voxel,-13,-1,3.5,0,unknown
voxel,-13,-1,4.5,0,unknown
voxel,-13,0,0.5,0,unknown
voxel,-13,0,1.5,0,unknown
voxel,-13,0,2.5,0,unknown
voxel,-13,0,3.5,0,unknown
voxel,-13,0,4.5,0,unknown
voxel,-13,1,0.5,0,unknown
voxel,-13,1,1.5,0,unknown
voxel,-13,1,2.5,0,unknown
voxel,-13,1,3.5,0,unknown
voxel,-13,1,4.5,0,unknown
voxel,-13,2,0.5,0,unknown
voxel,-13,2,1.5,0,unknown
voxel,-13,2,2.5,0,unknown
voxel,-13,2,3.5,0,unknown
voxel,-13,2,4.5,0,unknown
voxel,-13,3,0.5,0,unknown
voxel,-13,3,1.5,0,unknown
voxel,-13,3,2.5,0,unknown
voxel,-13,3,3.5,0,unknown
voxel,-13,3,4.5,0,unknown
voxel,-13,4,0.5,0,unknown
voxel,-13,4,1.5,0,unknown
voxel,-13,4,2.5,0,unknown
voxel,-13,4,3.5,0,unknown
voxel,-13,4,4.5,0,unknown
voxel,-13,5,0.5,0,unknown
voxel,-13,5,1.5,0,unknown
voxel,-13,5,2.5,0,unknown
voxel,-13,5,3.5,0,unknown
voxel,-13,5,4.5,0,unknown
voxel,-13,6,0.5,0,unknown
voxel,-13,6,1.5,0,unknown
voxel,-13,6,2.5,0,unknown
voxel,-13,6,3.5,0,unknown
voxel,-13,6,4.5,0,unknown
voxel,-13,7,0.5,0,unknown
voxel,-13,7,1.5,0,unknown
voxel,-13,7,2.5,0,unknown
voxel,-13,7,3.5,0,unknown
voxel,-13,7,4.5,0,unknown
voxel,-13,8,0.5,0,unknown
voxel,-13,8,1.5,0,unknown
voxel,-13,8,2.5,0,unknown
voxel,-13,8,3.5,0,unknown
voxel,-13,8,4.5,0,unknown
voxel,-13,9,0.5,0,unknown
voxel,-13,9,1.5,0,unknown
voxel,-13,9,2.5,0,unknown
voxel,-13,9,3.5,0,unknown
voxel,-13,9,4.5,0,unknown
voxel,-13,10,0.5,0,unknown
voxel,-13,10,1.5,0,unknown
voxel,-13,10,2.5,0,unknown
voxel,-13,10,3.5,0,unknown
voxel,-13,10,4.5,0,unknown
voxel,-13,11,0.5,0,unknown
voxel,-13,11,1.5,0,unknown
voxel,-13,11,2.5,0,unknown
voxel,-13,11,3.5,0,unknown
voxel,-13,11,4.5,0,unknown
voxel,-13,12,0.5,0,unknown
voxel,-13,12,1.5,0,unknown
voxel,-13,12,2.5,0,unknown
voxel,-13,12,3.5,0,unknown
voxel,-13,12,4.5,0,unknown
voxel,-13,13,0.5,0,unknown
voxel,-13,13,1.5,0,unknown
voxel,-13,13,2.5,0,unknown
voxel,-13,13,3.5,0,unknown
voxel,-13,13,4.5,0,unknown
voxel,-13,14,0.5,0,unknown
voxel,-13,14,1.5,0,unknown
voxel,-13,14,2.5,0,unknown
voxel,-13,14,3.5,0,unknown
voxel,-13,14,4.5,0,unknown
voxel,-12,-14,0.5,0,unknown
voxel,-12,-14,1.5,0,unknown
voxel,-12,-14,2.5,0,unknown
voxel,-12,-14,3.5,0,unknown
voxel,-12,-14,4.5,0,unknown
voxel,-12,-13,0.5,0,unknown
voxel,-12,-13,1.5,0,unknown
voxel,-12,-13,2.5,0,unknown
voxel,-12,-13,3.5,0,unknown
voxel,-12,-13,4.5,0,unknown
voxel,-12,-12,0.5,0,unknown
voxel,-12,-12,1.5,0,unknown
voxel,-12,-12,2.5,0,unknown
voxel,-12,-12,3.5,0,unknown
voxel,-12,-12,4.5,0,unknown
voxel,-12,-11,0.5,0,unknown
voxel,-12,-11,1.5,0,unknown
voxel,-12,-11,2.5,0,unknown
voxel,-12,-11,3.5,0,unknown
voxel,-12,-11,4.5,0,unknown
voxel,-12,-10,0.5,0,unknown
voxel,-12,-10,1.5,0,unknown
voxel,-12,-10,2.5,0,unknown
voxel,-12,-10,3.5,0,unknown
voxel,-12,-10,4.5,0,unknown
voxel,-12,-9,0.5,0,unknown
voxel,-12,-9,1.5,0,unknown
voxel,-12,-9,2.5,0,unknown
voxel,-12,-9,3.5,0,unknown
voxel,-12,-9,4.5,0,unknown
voxel,-12,-8,0.5,0,unknown
voxel,-12,-8,1.5,0,unknown
voxel,-12,-8,2.5,0,unknown
voxel,-12,-8,3.5,0,unknown
voxel,-12,-8,4.5,0,unknown
voxel,-12,-7,0.5,0,unknown
voxel,-12,-7,1.5,0,unknown
voxel,-12,-7,2.5,0,unknown
voxel,-12,-7,3.5,0,unknown
voxel,-12,-7,4.5,0,unknown
voxel,-12,-6,0.5,0,unknown
voxel,-12,-6,1.5,0,unknown
voxel,-12,-6,2.5,0,unknown
voxel,-12,-6,3.5,0,unknown
voxel,-12,-6,4.5,0,unknown
voxel,-12,-5,0.5,0,unknown
voxel,-12,-5,1.5,0,unknown
voxel,-12,-5,2.5,0,unknown
voxel,-12,-5,3.5,0,unknown
voxel,-12,-5,4.5,0,unknown
voxel,-12,-4,0.5,0,unknown
voxel,-12,-4,1.5,0,unknown
voxel,-12,-4,2.5,0,unknown
voxel,-12,-4,3.5,0,unknown
voxel,-12,-4,4.5,0,unknown
voxel,-12,-3,0.5,0,unknown
voxel,-12,-3,1.5,0,unknown
voxel,-12,-3,2.5,0,unknown
voxel,-12,-3,3.5,0,unknown
voxel,-12,-3,4.5,0,unknown
voxel,-12,-2,0.5,0,unknown
voxel,-12,-2,1.5,0,unknown
voxel,-12,-2,2.5,0,unknown
voxel,-12,-2,3.5,0,unknown
voxel,-12,-2,4.5,0,unknown
voxel,-12,-1,0.5,0,unknown
voxel,-12,-1,1.5,0,unknown
voxel,-12,-1,2.5,0,unknown
voxel,-12,-1,3.5,0,unknown
voxel,-12,-1,4.5,0,unknown
voxel,-12,0,0.5,0,unknown
voxel,-12,0,1.5,0,unknown
voxel,-12,0,2.5,0,unknown
voxel,-12,0,3.5,0,unknown
voxel,-12,0,4.5,0,unknown
voxel,-12,1,0.5,0,unknown
voxel,-12,1,1.5,0,unknown
voxel,-12,1,2.5,0,unknown
voxel,-12,1,3.5,0,unknown
voxel,-12,1,4.5,0,unknown
voxel,-12,2,0.5,0,unknown
voxel,-12,2,1.5,0,unknown
voxel,-12,2,2.5,0,unknown
voxel,-12,2,3.5,0,unknown
voxel,-12,2,4.5,0,unknown
voxel,-12,3,0.5,0,unknown
voxel,-12,3,1.5,0,unknown
voxel,-12,3,2.5,0,unknown
voxel,-12,3,3.5,0,unknown
voxel,-12,3,4.5,0,unknown
voxel,-12,4,0.5,0,unknown
voxel,-12,4,1.5,0,unknown
voxel,-12,4,2.5,0,unknown
voxel,-12,4,3.5,0,unknown
voxel,-12,4,4.5,0,unknown
voxel,-12,5,0.5,0,unknown
voxel,-12,5,1.5,0,unknown
voxel,-12,5,2.5,0,unknown
voxel,-12,5,3.5,0,unknown
voxel,-12,5,4.5,0,unknown
voxel,-12,6,0.5,0,unknown
voxel,-12,6,1.5,0,unknown
voxel,-12,6,2.5,0,unknown
voxel,-12,6,3.5,0,unknown
voxel,-12,6,4.5,0,unknown
voxel,-12,7,0.5,0,unknown
voxel,-12,7,1.5,0,unknown
voxel,-12,7,2.5,0,unknown
voxel,-12,7,3.5,0,unknown
voxel,-12,7,4.5,0,unknown
voxel,-12,8,0.5,0,unknown
voxel,-12,8,1.5,0,unknown
voxel,-12,8,2.5,0,unknown
voxel,-12,8,3.5,0,unknown
voxel,-12,8,4.5,0,unknown
voxel,-12,9,0.5,0,unknown
voxel,-12,9,1.5,0,unknown
voxel,-12,9,2.5,0,unknown
voxel,-12,9,3.5,0,unknown
voxel,-12,9,4.5,0,unknown
voxel,-12,10,0.5,0,unknown
voxel,-12,10,1.5,0,unknown
voxel,-12,10,2.5,0,unknown
voxel,-12,10,3.5,0,unknown
voxel,-12,10,4.5,0,unknown
voxel,-12,11,0.5,0,unknown
voxel,-12,11,1.5,0,unknown
voxel,-12,11,2.5,0,unknown
voxel,-12,11,3.5,0,unknown
voxel,-12,11,4.5,0,unknown
voxel,-12,12,0.5,0,unknown
voxel,-12,12,1.5,0,unknown
voxel,-12,12,2.5,0,unknown
voxel,-12,12,3.5,0,unknown
voxel,-12,12,4.5,0,unknown
voxel,-12,13,0.5,0,unknown
voxel,-12,13,1.5,0,unknown
voxel,-12,13,2.5,0,unknown
voxel,-12,13,3.5,0,unknown
voxel,-12,13,4.5,0,unknown
voxel,-12,14,0.5,0,unknown
voxel,-12,14,1.5,0,unknown
voxel,-12,14,2.5,0,unknown
voxel,-12,14,3.5,0,unknown
voxel,-12,14,4.5,0,unknown
voxel,-11,-14,0.5,0,unknown
voxel,-11,-14,1.5,0,unknown
voxel,-11,-14,2.5,0,unknown
voxel,-11,-14,3.5,0,unknown
voxel,-11,-14,4.5,0,unknown
voxel,-11,-13,0.5,0,unknown
voxel,-11,-13,1.5,0,unknown
voxel,-11,-13,2.5,0,unknown
voxel,-11,-13,3.5,0,unknown
voxel,-11,-13,4.5,0,unknown
voxel,-11,-12,0.5,0,unknown
voxel,-11,-12,1.5,0,unknown
voxel,-11,-12,2.5,0,unknown
voxel,-11,-12,3.5,0,unknown
voxel,-11,-12,4.5,0,unknown
voxel,-11,-11,0.5,0,unknown
voxel,-11,-11,1.5,0,unknown
voxel,-11,-11,2.5,0,unknown
voxel,-11,-11,3.5,0,unknown
voxel,-11,-11,4.5,0,unknown
voxel,-11,-10,0.5,0,unknown
voxel,-11,-10,1.5,0,unknown
voxel,-11,-10,2.5,0,unknown
voxel,-11,-10,3.5,0,unknown
voxel,-11,-10,4.5,0,unknown
voxel,-11,-9,0.5,0,unknown
voxel,-11,-9,1.5,0,unknown
voxel,-11,-9,2.5,0,unknown
voxel,-11,-9,3.5,0,unknown
voxel,-11,-9,4.5,0,unknown
voxel,-11,-8,0.5,0,unknown
voxel,-11,-8,1.5,0,unknown
voxel,-11,-8,2.5,0,unknown
voxel,-11,-8,3.5,0,unknown
voxel,-11,-8,4.5,0,unknown
voxel,-11,-7,0.5,0,unknown
voxel,-11,-7,1.5,0,unknown
voxel,-11,-7,2.5,0,unknown
voxel,-11,-7,3.5,0,unknown
voxel,-11,-7,4.5,0,unknown
voxel,-11,-6,0.5,0,unknown
voxel,-11,-6,1.5,0,unknown
voxel,-11,-6,2.5,0,unknown
voxel,-11,-6,3.5,0,unknown
voxel,-11,-6,4.5,0,unknown
voxel,-11,-5,0.5,0,unknown
voxel,-11,-5,1.5,0,unknown
voxel,-11,-5,2.5,0,unknown
voxel,-11,-5,3.5,0,unknown
voxel,-11,-5,4.5,0,unknown
voxel,-11,-4,0.5,0,unknown
voxel,-11,-4,1.5,0,unknown
voxel,-11,-4,2.5,0,unknown
voxel,-11,-4,3.5,0,unknown
voxel,-11,-4,4.5,0,unknown
voxel,-11,-3,0.5,0,unknown
voxel,-11,-3,1.5,0,unknown
voxel,-11,-3,2.5,0,unknown
voxel,-11,-3,3.5,0,unknown
voxel,-11,-3,4.5,0,unknown
voxel,-11,-2,0.5,0,unknown
voxel,-11,-2,1.5,0,unknown
voxel,-11,-2,2.5,0,unknown
voxel,-11,-2,3.5,0,unknown
voxel,-11,-2,4.5,0,unknown
voxel,-11,-1,0.5,0,unknown
voxel,-11,-1,1.5,0,unknown
voxel,-11,-1,2.5,0,unknown
voxel,-11,-1,3.5,0,unknown
voxel,-11,-1,4.5,0,unknown
voxel,-11,0,0.5,0,unknown
voxel,-11,0,1.5,0,unknown
voxel,-11,0,2.5,0,unknown
voxel,-11,0,3.5,0,unknown
voxel,-11,0,4.5,0,unknown
voxel,-11,1,0.5,0,unknown
voxel,-11,1,1.5,0,unknown
voxel,-11,1,2.5,0,unknown
voxel,-11,1,3.5,0,unknown
voxel,-11,1,4.5,0,unknown
voxel,-11,2,0.5,0,unknown
voxel,-11,2,1.5,0,unknown
voxel,-11,2,2.5,0,unknown
voxel,-11,2,3.5,0,unknown
voxel,-11,2,4.5,0,unknown
voxel,-11,3,0.5,0,unknown
voxel,-11,3,1.5,0,unknown
voxel,-11,3,2.5,0,unknown
voxel,-11,3,3.5,0,unknown
voxel,-11,3,4.5,0,unknown
voxel,-11,4,0.5,0,unknown
voxel,-11,4,1.5,0,unknown
voxel,-11,4,2.5,0,unknown
voxel,-11,4,3.5,0,unknown
voxel,-11,4,4.5,0,unknown
voxel,-11,5,0.5,0,unknown
voxel,-11,5,1.5,0,unknown
voxel,-11,5,2.5,0,unknown
voxel,-11,5,3.5,0,unknown
voxel,-11,5,4.5,0,unknown
voxel,-11,6,0.5,0,unknown
voxel,-11,6,1.5,0,unknown
voxel,-11,6,2.5,0,unknown
voxel,-11,6,3.5,0,unknown
voxel,-11,6,4.5,0,unknown
voxel,-11,7,0.5,0,unknown
voxel,-11,7,1.5,0,unknown
voxel,-11,7,2.5,0,unknown
voxel,-11,7,3.5,0,unknown
voxel,-11,7,4.5,0,unknown
voxel,-11,8,0.5,0,unknown
voxel,-11,8,1.5,0,unknown
voxel,-11,8,2.5,0,unknown
voxel,-11,8,3.5,0,unknown
voxel,-11,8,4.5,0,unknown
voxel,-11,9,0.5,0,unknown
voxel,-11,9,1.5,0,unknown
voxel,-11,9,2.5,0,unknown
voxel,-11,9,3.5,0,unknown
voxel,-11,9,4.5,0,unknown
voxel,-11,10,0.5,0,unknown
voxel,-11,10,1.5,0,unknown
voxel,-11,10,2.5,0,unknown
voxel,-11,10,3.5,0,unknown
voxel,-11,10,4.5,0,unknown
voxel,-11,11,0.5,0,unknown
voxel,-11,11,1.5,0,unknown
voxel,-11,11,2.5,0,unknown
voxel,-11,11,3.5,0,unknown
voxel,-11,11,4.5,0,unknown
voxel,-11,12,0.5,0,unknown
voxel,-11,12,1.5,0,unknown
voxel,-11,12,2.5,0,unknown
voxel,-11,12,3.5,0,unknown
voxel,-11,12,4.5,0,unknown
voxel,-11,13,0.5,0,unknown
voxel,-11,13,1.5,0,unknown
voxel,-11,13,2.5,0,unknown
voxel,-11,13,3.5,0,unknown
voxel,-11,13,4.5,0,unknown
voxel,-11,14,0.5,0,unknown
voxel,-11,14,1.5,0,unknown
voxel,-11,14,2.5,0,unknown
voxel,-11,14,3.5,0,unknown
voxel,-11,14,4.5,0,unknown
voxel,-10,-14,0.5,0,unknown
voxel,-10,-14,1.5,0,unknown
voxel,-10,-14,2.5,0,unknown
voxel,-10,-14,3.5,0,unknown
voxel,-10,-14,4.5,0,unknown
voxel,-10,-13,0.5,0,unknown
voxel,-10,-13,1.5,0,unknown
voxel,-10,-13,2.5,0,unknown
voxel,-10,-13,3.5,0,unknown
voxel,-10,-13,4.5,0,unknown
voxel,-10,-12,0.5,0,unknown
voxel,-10,-12,1.5,0,unknown
voxel,-10,-12,2.5,0,unknown
voxel,-10,-12,3.5,0,unknown
voxel,-10,-12,4.5,0,unknown
voxel,-10,-11,0.5,0,unknown
voxel,-10,-11,1.5,0,unknown
voxel,-10,-11,2.5,0,unknown
voxel,-10,-11,3.5,0,unknown
voxel,-10,-11,4.5,0,unknown
voxel,-10,-10,0.5,0,occupied
voxel,-10,-10,1.5,0,unknown
voxel,-10,-10,2.5,0,occupied
voxel,-10,-10,3.5,0,occupied
voxel,-10,-10,4.5,0,unknown
voxel,-10,-9,0.5,0,occupied
voxel,-10,-9,1.5,0,unknown
voxel,-10,-9,2.5,0,occupied
voxel,-10,-9,3.5,0,occupied
voxel,-10,-9,4.5,0,unknown
voxel,-10,-8,0.5,0,occupied
voxel,-10,-8,1.5,0,occupied
voxel,-10,-8,2.5,0,occupied
voxel,-10,-8,3.5,0,occupied
voxel,-10,-8,4.5,0,unknown
voxel,-10,-7,0.5,0,occupied
voxel,-10,-7,1.5,0,occupied
voxel,-10,-7,2.5,0,occupied
voxel,-10,-7,3.5,0,occupied
voxel,-10,-7,4.5,0,unknown
voxel,-10,-6,0.5,0,occupied
voxel,-10,-6,1.5,0,occupied
voxel,-10,-6,2.5,0,occupied
voxel,-10,-6,3.5,0,occupied
voxel,-10,-6,4.5,0,unknown
voxel,-10,-5,0.5,0,occupied
voxel,-10,-5,1.5,0,occupied
voxel,-10,-5,2.5,0,occupied
voxel,-10,-5,3.5,0,occupied
voxel,-10,-5,4.5,0,unknown
voxel,-10,-4,0.5,0,occupied
voxel,-10,-4,1.5,0,occupied
voxel,-10,-4,2.5,0,occupied
voxel,-10,-4,3.5,0,occupied
voxel,-10,-4,4.5,0,unknown
voxel,-10,-3,0.5,0,occupied
voxel,-10,-3,1.5,0,occupied
voxel,-10,-3,2.5,0,occupied
voxel,-10,-3,3.5,0,occupied
voxel,-10,-3,4.5,0,unknown
voxel,-10,-2,0.5,0,occupied
voxel,-10,-2,1.5,0,occupied
voxel,-10,-2,2.5,0,occupied
voxel,-10,-2,3.5,0,occupied
voxel,-10,-2,4.5,0,unknown
voxel,-10,-1,0.5,0,occupied
voxel,-10,-1,1.5,0,occupied
voxel,-10,-1,2.5,0,occupied
voxel,-10,-1,3.5,0,occupied
voxel,-10,-1,4.5,0,unknown
voxel,-10,0,0.5,0,occupied
voxel,-10,0,1.5,0,occupied
voxel,-10,0,2.5,0,occupied
voxel,-10,0,3.5,0,occupied
voxel,-10,0,4.5,0,unknown
voxel,-10,1,0.5,0,occupied
voxel,-10,1,1.5,0,occupied
voxel,-10,1,2.5,0,occupied
voxel,-10,1,3.5,0,occupied
voxel,-10,1,4.5,0,unknown
voxel,-10,2,0.5,0,occupied
voxel,-10,2,1.5,0,occupied
voxel,-10,2,2.5,0,occupied
voxel,-10,2,3.5,0,occupied
voxel,-10,2,4.5,0,unknown
voxel,-10,3,0.5,0,occupied
voxel,-10,3,1.5,0,occupied
voxel,-10,3,2.5,0,occupied
voxel,-10,3,3.5,0,free
voxel,-10,3,4.5,0,unknown
voxel,-10,4,0.5,0,occupied
voxel,-10,4,1.5,0,occupied
voxel,-10,4,2.5,0,occupied
voxel,-10,4,3.5,0,occupied
voxel,-10,4,4.5,0,unknown
voxel,-10,5,0.5,0,occupied
voxel,-10,5,1.5,0,occupied
voxel,-10,5,2.5,0,occupied
voxel,-10,5,3.5,0,occupied
voxel,-10,5,4.5,0,unknown
voxel,-10,6,0.5,0,occupied
voxel,-10,6,1.5,0,occupied
voxel,-10,6,2.5,0,occupied
voxel,-10,6,3.5,0,occupied
voxel,-10,6,4.5,0,unknown
voxel,-10,7,0.5,0,occupied
voxel,-10,7,1.5,0,occupied
voxel,-10,7,2.5,0,occupied
voxel,-10,7,3.5,0,free
voxel,-10,7,4.5,0,unknown
voxel,-10,8,0.5,0,occupied
voxel,-10,8,1.5,0,occupied
voxel,-10,8,2.5,0,occupied
voxel,-10,8,3.5,0,occupied
voxel,-10,8,4.5,0,unknown
voxel,-10,9,0.5,0,occupied
voxel,-10,9,1.5,0,occupied
voxel,-10,9,2.5,0,occupied
voxel,-10,9,3.5,0,occupied
voxel,-10,9,4.5,0,unknown
voxel,-10,10,0.5,0,occupied
voxel,-10,10,1.5,0,occupied
voxel,-10,10,2.5,0,unknown
voxel,-10,10,3.5,0,occupied
voxel,-10,10,4.5,0,unknown
voxel,-10,11,0.5,0,unknown
voxel,-10,11,1.5,0,unknown
voxel,-10,11,2.5,0,unknown
